numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
82039;189;2017-08-15;1015030162;11;;178;221002;0.30;;;;;;LIBERADO;
82039;189;2017-08-15;1015030162;11;;178;221001;0.60;;;;;;LIBERADO;
82039;189;2017-08-15;1015030162;11;;178;221003;0.60;;;;;;LIBERADO;
84029;6;2017-08-25;1010740188;6;;8;10100;0.70;;;;;;LIBERADO;
83789;189;2017-08-23;1020270133;18;;178;10811;8.00;;;;;;LIBERADO;
82179;8;2017-08-15;1009500195;2;;33;10811;7.00;;;;;;LIBERADO;
82239;3;2017-08-15;1008770369;6;NEGATIVA DE AUTORIZACAO;0;10100;0.70;;;;;;RECUSADO;
82189;3;2017-08-15;1009110133;7;;87;10809;5.00;;;;;;LIBERADO;
83689;189;2017-08-23;1015050198;6;;178;221002;0.30;;;;;;LIBERADO;
83609;189;2017-08-23;1015050198;6;;178;221001;0.60;;;;;;LIBERADO;
82129;197;2017-08-15;1014090285;2;;197;251001;0.16;;;;;;LIBERADO;
83419;3;2017-08-22;1016070168;10;;0;10100;0.70;;;;;;LIBERADO;
83939;3;2017-08-24;1015750173;11;NEGATIVA DE AUTORIZACAO;4;211114;0.10;;;;;;RECUSADO;
83939;3;2017-08-24;1015750173;11;NEGATIVA DE AUTORIZACAO;4;251041;0.35;;;;;;RECUSADO;
83939;3;2017-08-24;1015750173;11;NEGATIVA DE AUTORIZACAO;4;20101;2.00;;;;;;RECUSADO;
83559;3;2017-08-22;1019990110;18;;34;211113;0.25;;;;;;LIBERADO;
83549;3;2017-08-22;1019990110;18;;0;10100;0.70;;;;;;LIBERADO;
84239;10;2017-08-26;1018020133;11;;10;10100;0.70;;;;;;LIBERADO;
84369;189;2017-08-28;1017380136;10;NAO REALIALIZOU O PROCEDIMENTO;178;221002;0.30;;;;;;RECUSADO;
84369;189;2017-08-28;1017380136;10;NAO REALIALIZOU O PROCEDIMENTO;178;221001;0.60;;;;;;RECUSADO;
83109;189;2017-08-21;1014380101;7;;178;211114;0.20;;;;;;LIBERADO;
83109;189;2017-08-21;1014380101;7;;178;10100;1.00;;;;;;LIBERADO;
83279;197;2017-08-22;1014380101;7;;0;251041;0.40;;;;;;LIBERADO;
84159;189;2017-08-25;1018090182;10;;224;261043;1.20;;;;;;LIBERADO;
82069;189;2017-08-15;1020250116;18;;178;10100;1.00;;;;;;LIBERADO;
82219;17;2017-08-15;1019520156;15;;122;10315;1.80;;;;;;LIBERADO;
82219;17;2017-08-15;1019520156;15;;122;10809;5.00;;;;;;LIBERADO;
83059;197;2017-08-20;1019260146;15;;197;251001;0.16;;;;;;LIBERADO;
83469;8;2017-08-22;1019260146;15;;0;10100;0.70;;;;;;LIBERADO;
83249;51;2017-08-21;1018890111;10;NEGATIVA DE AUTORIZACAO;35;211114;0.10;;;;;;RECUSADO;
83259;197;2017-08-21;1018890111;10;NEGATIVA DE AUTORIZACAO;197;251001;0.16;;;;;;RECUSADO;
83229;51;2017-08-21;1018890111;10;;0;10100;0.70;;;;;;LIBERADO;
82639;189;2017-08-17;1017560118;10;;178;221002;0.30;;;;;;LIBERADO;
82639;189;2017-08-17;1017560118;10;;178;221003;0.60;;;;;;LIBERADO;
82639;189;2017-08-17;1017560118;10;;178;221001;0.60;;;;;;LIBERADO;
83879;189;2017-08-24;1017570181;10;;220;221002;0.30;;;;;;LIBERADO;
83879;189;2017-08-24;1017570181;10;;220;221001;0.60;;;;;;LIBERADO;
83169;3;2017-08-21;1017650117;10;;0;10100;0.70;;;;;;LIBERADO;
83649;189;2017-08-23;1020390112;18;;178;221002;0.30;;;;;;LIBERADO;
82519;3;2017-08-16;1019290134;14;NAO REALIALIZOU O PROCEDIMENTO;34;211113;0.25;;;;;;RECUSADO;
82509;3;2017-08-16;1019290134;14;;0;10102;1.00;;;;;;LIBERADO;
83349;3;2017-08-21;1014210108;7;;3;211114;0.10;;;;;;LIBERADO;
83349;3;2017-08-21;1014210108;7;;3;251041;0.35;;;;;;LIBERADO;
83339;3;2017-08-21;1014210108;7;;0;10104;0.85;;;;;;LIBERADO;
83459;3;2017-08-22;1014210108;7;;3;20108;1.00;;;;;;LIBERADO;
83359;3;2017-08-22;1014210108;7;NEGATIVA DE AUTORIZACAO;3;20101;2.00;;;;;;RECUSADO;
84359;189;2017-08-28;1019650106;14;;178;221002;0.30;;;;;;LIBERADO;
84359;189;2017-08-28;1019650106;14;;178;221001;0.60;;;;;;LIBERADO;
83329;189;2017-08-21;1020400100;18;;220;10100;1.00;;;;;;LIBERADO;
83739;51;2017-08-23;1017970103;11;;0;10102;1.00;;;;;;LIBERADO;
82889;30;2017-08-18;1016480145;10;;30;211114;0.10;;;;;;LIBERADO;
82889;30;2017-08-18;1016480145;10;;30;10100;0.70;;;;;;LIBERADO;
83069;197;2017-08-20;1016480145;10;;197;251041;0.40;;;;;;LIBERADO;
84139;189;2017-08-25;1016480145;10;;224;261043;1.20;;;;;;LIBERADO;
84119;189;2017-08-25;1020150154;19;;178;10811;8.00;;;;;;LIBERADO;
