id_procedimento;id_plano;observ acoes
10325;7;
10327;7;
10316;7;
10312;7;
10418;7;
10409;7;
10425;7;
10413;7;
10414;7;
10417;7;
10803;7;
10804;7;
10902;7;
10903;7;
10904;7;
11005;7;
11004;7;
11201;7;
11202;7;
11302;7;
11303;7;
11301;7;
11307;7;
20102;7;
20103;7;
20104;7;
99913;7;
251017;7;
251018;7;
251019;7;
251020;7;
251021;7;
251022;7;
251023;7;
251024;7;
251025;7;
251027;7;
251026;7;
251029;7;
251030;7;
251031;7;
251028;7;
251033;7;
251034;7;
251035;7;
251037;7;
251036;7;
251038;7;
251039;7;
251040;7;
251010;7;
10326;7;
10410;7;
10805;7;
10807;7;
10813;7;
11101;7;
11102;7;
271012;7;
271007;7;
10310;7;
10411;7;
251032;7;
251007;7;
99912;7;
10424;7;
11205;7;
2510117;7;
2510118;7;
2510110;7;
2510135;7;
2510121;7;
2510119;7;
2510116;7;
2510115;7;
2510120;7;
10812;7;
10810;7;
10811;7;
94181;7;
10408;7;
10802;7;
10505;7;
10100;7;
10102;7;
211112;7;
10314;7;
10302;7;
10311;7;
10317;7;
10323;7;
10329;7;
10420;7;
10421;7;
10423;7;
10419;7;
251062;7;
251049;7;
10501;7;
10814;7;
11203;7;
261083;7;
261084;7;
261085;7;
261043;7;
261093;7;
271009;7;
251003;7;
11305;7;
261094;7;
261048;7;
261095;7;
261049;7;
261096;7;
261055;7;
261046;7;
261047;7;
261050;7;
261098;7;
251004;7;
10401;7;
10402;7;
10415;7;
271008;7;
271005;7;
271004;7;
271006;7;
251006;7;
251005;7;
251009;7;
251053;7;
251055;7;
251045;7;
251058;7;
251042;7;
2510111;7;
2510112;7;
2510123;7;
251093;7;
251094;7;
251095;7;
251008;7;
251012;7;
271013;7;
10428;7;
261054;7;
10318;7;
11304;7;
251063;7;
251064;7;
10806;7;
10808;7;
10313;7;
10308;7;
10319;7;
10328;7;
10422;7;
10901;7;
11204;7;
11306;7;
261086;7;
261087;7;
261088;7;
261045;7;
261097;7;
251016;7;
10304;7;
10403;7;
10407;7;
10412;7;
10416;7;
10103;7;
10305;7;
10404;7;
10405;7;
10406;7;
10301;7;
11001;7;
251061;7;
251047;7;
251051;7;
251065;7;
251060;7;
251052;7;
251072;7;
251073;7;
251048;7;
251054;7;
251067;7;
251068;7;
251066;7;
251050;7;
251046;7;
251059;7;
251043;7;
251044;7;
251069;7;
2510138;7;
2510109;7;
2510139;7;
2510130;7;
2510128;7;
2510132;7;
2510133;7;
2510113;7;
251076;7;
2510140;7;
2510137;7;
2510134;7;
2510122;7;
271010;7;
271015;7;
10801;7;
11002;7;
11003;7;
10104;7;
10105;7;
20101;7;
20108;7;
10809;7;
20105;7;
20106;7;
10426;7;
10502;7;
10503;7;
10618;7;
10612;7;
10615;7;
10613;7;
10620;7;
10616;7;
10611;7;
10614;7;
10608;7;
10609;7;
10610;7;
10621;7;
10619;7;
10604;7;
10622;7;
10601;7;
10602;7;
10603;7;
10617;7;
10623;7;
10607;7;
10701;7;
10702;7;
10703;7;
10704;7;
10705;7;
10606;7;
10605;7;
10706;7;
10427;7;
221004;8;
221002;8;
221001;8;
221003;8;
251041;8;
251001;8;
251002;8;
211114;8;
211113;8;
10203;8;
10206;8;
10201;8;
10204;8;
10202;8;
10205;8;
10315;8;
10307;8;
10306;8;
10309;8;
10322;8;
10320;8;
10321;8;
10324;8;
10325;8;
10327;8;
10316;8;
10312;8;
10418;8;
10409;8;
10425;8;
10413;8;
10414;8;
10417;8;
10803;8;
10804;8;
10902;8;
10903;8;
10904;8;
11005;8;
11004;8;
11201;8;
11202;8;
11302;8;
11303;8;
11301;8;
11307;8;
20102;8;
20103;8;
20104;8;
99913;8;
251017;8;
251018;8;
251019;8;
251020;8;
251021;8;
251022;8;
251023;8;
251024;8;
251025;8;
251027;8;
251026;8;
251029;8;
251030;8;
251031;8;
251028;8;
251033;8;
251034;8;
251035;8;
251037;8;
251036;8;
251038;8;
251039;8;
251040;8;
251010;8;
10326;8;
10410;8;
10805;8;
10807;8;
10813;8;
11101;8;
11102;8;
271012;8;
271007;8;
10310;8;
10411;8;
251032;8;
251007;8;
99912;8;
10424;8;
11205;8;
2510117;8;
2510118;8;
2510110;8;
2510135;8;
2510121;8;
2510119;8;
2510116;8;
2510115;8;
2510120;8;
10812;8;
10810;8;
10811;8;
94181;8;
10408;8;
10802;8;
10505;8;
10100;8;
10102;8;
211112;8;
10314;8;
10302;8;
10311;8;
10317;8;
10323;8;
10329;8;
10420;8;
10421;8;
10423;8;
10419;8;
251062;8;
251049;8;
10501;8;
10814;8;
11203;8;
261083;8;
261084;8;
261085;8;
261043;8;
261093;8;
271009;8;
251003;8;
11305;8;
261094;8;
261048;8;
261095;8;
261049;8;
261096;8;
261055;8;
261046;8;
261047;8;
261050;8;
261098;8;
251004;8;
10401;8;
10402;8;
10415;8;
271008;8;
271005;8;
271004;8;
271006;8;
251006;8;
251005;8;
251009;8;
251053;8;
251055;8;
251045;8;
251058;8;
251042;8;
2510111;8;
2510112;8;
2510123;8;
251093;8;
251094;8;
251095;8;
251008;8;
251012;8;
271013;8;
10428;8;
261054;8;
10318;8;
11304;8;
251063;8;
251064;8;
10806;8;
10808;8;
10313;8;
10308;8;
10319;8;
10328;8;
10422;8;
10901;8;
11204;8;
11306;8;
261086;8;
261087;8;
261088;8;
261045;8;
261097;8;
251016;8;
10304;8;
10403;8;
10407;8;
10412;8;
10416;8;
10103;8;
10305;8;
10404;8;
10405;8;
10406;8;
10301;8;
11001;8;
251061;8;
251047;8;
251051;8;
251065;8;
251060;8;
251052;8;
251072;8;
251073;8;
251048;8;
251054;8;
251067;8;
251068;8;
251066;8;
251050;8;
251046;8;
251059;8;
251043;8;
251044;8;
251069;8;
2510138;8;
2510109;8;
2510139;8;
2510130;8;
2510128;8;
2510132;8;
2510133;8;
2510113;8;
251076;8;
2510140;8;
2510137;8;
2510134;8;
2510122;8;
271010;8;
271015;8;
10801;8;
11002;8;
11003;8;
10504;8;
251057;8;
251089;8;
261091;8;
261082;8;
251092;8;
251086;8;
251087;8;
2510127;8;
2510103;8;
2510104;8;
2510107;8;
2510105;8;
2510106;8;
2510102;8;
261052;8;
251075;8;
251091;8;
251090;8;
251070;8;
251071;8;
261080;8;
261081;8;
261090;8;
261089;8;
251096;8;
2510142;8;
251097;8;
251098;8;
2510141;8;
251079;8;
251099;8;
2510114;8;
251088;8;
2510100;8;
2510136;8;
251078;8;
251077;8;
2510125;8;
2510124;8;
2510126;8;
251084;8;
251056;8;
2510101;8;
2510108;8;
251085;8;
251011;8;
251014;8;
251013;8;
271014;8;
271016;8;
271003;8;
271011;8;
2510143;8;
261044;8;
10104;8;
10105;8;
20101;8;
20108;8;
10809;8;
20105;8;
20106;8;
10426;8;
10502;8;
10503;8;
10618;8;
10612;8;
10615;8;
10613;8;
10620;8;
10616;8;
10611;8;
10614;8;
10608;8;
10609;8;
10610;8;
10621;8;
10619;8;
10604;8;
10622;8;
10601;8;
10602;8;
10603;8;
10617;8;
10623;8;
10607;8;
10701;8;
10702;8;
10703;8;
10704;8;
10705;8;
10606;8;
10605;8;
10706;8;
20107;8;
10815;8;
10427;8;
261053;8;
271001;8;
271111;8;
271110;8;
271002;8;
271117;8;
271116;8;
271115;8;
271114;8;
271112;8;
221004;9;
221002;9;
221001;9;
221003;9;
251041;9;
211114;9;
10100;9;
10102;9;
211112;9;
221002;10;
221001;10;
221003;10;
251041;10;
251001;10;
251002;10;
211114;10;
211113;10;
10203;10;
10206;10;
10201;10;
10204;10;
10202;10;
10205;10;
10315;10;
10307;10;
10306;10;
10309;10;
10322;10;
10320;10;
10321;10;
10324;10;
10325;10;
10327;10;
10316;10;
10312;10;
10418;10;
10409;10;
10425;10;
10413;10;
10414;10;
10417;10;
10803;10;
10804;10;
10902;10;
10903;10;
10904;10;
11005;10;
11004;10;
11201;10;
11202;10;
11302;10;
11303;10;
11301;10;
11307;10;
20102;10;
20103;10;
20104;10;
99913;10;
251017;10;
251018;10;
251019;10;
251020;10;
251021;10;
251022;10;
251023;10;
251024;10;
251025;10;
251027;10;
251026;10;
251029;10;
251030;10;
251031;10;
251028;10;
251033;10;
251034;10;
251035;10;
251037;10;
251036;10;
251038;10;
251039;10;
251040;10;
251010;10;
10326;10;
10410;10;
10805;10;
10807;10;
10813;10;
11101;10;
11102;10;
271012;10;
271007;10;
10310;10;
10411;10;
251032;10;
251007;10;
99912;10;
10424;10;
11205;10;
2510117;10;
2510118;10;
2510110;10;
2510135;10;
2510121;10;
2510119;10;
2510116;10;
2510115;10;
2510120;10;
10812;10;
10810;10;
10811;10;
94181;10;
10102;10;
211112;10;
10314;10;
10302;10;
10311;10;
10317;10;
10323;10;
10329;10;
10420;10;
10421;10;
10423;10;
10419;10;
251062;10;
251049;10;
10501;10;
10814;10;
11203;10;
261083;10;
261084;10;
261085;10;
261043;10;
261093;10;
271009;10;
251003;10;
11305;10;
11304;10;
251063;10;
251064;10;
91549;10;
10808;10;
10313;10;
10105;10;
99903;10;
20108;10;
10809;10;
20105;10;
20106;10;
221004;11;
221002;11;
221001;11;
221003;11;
251041;11;
251001;11;
251002;11;
211114;11;
211113;11;
10203;11;
10206;11;
10201;11;
10204;11;
10202;11;
10205;11;
10315;11;
10307;11;
10306;11;
10309;11;
10322;11;
10320;11;
10321;11;
10324;11;
10325;11;
10327;11;
10316;11;
10312;11;
10418;11;
10409;11;
10425;11;
10413;11;
10414;11;
10417;11;
10803;11;
10804;11;
10902;11;
