competencia;vencimento;data_pagamento;valor_original;valor_pago;id_cliente
2017/05;10/05/2017;04/05/2017;129,9;129,9;1007840037
2016/12;10/12/2016;08/12/2016;89,9;89,9;1007840037
2017/07;10/07/2017;07/07/2017;129,9;129,9;1007840037
2016/11;10/11/2016;10/11/2016;89,9;89,9;1007840037
2017/01;10/01/2017;10/01/2017;89,9;89,9;1007840037
2017/08;10/08/2017;09/08/2017;129,9;129,9;1007840037
2016/10;30/09/2016;30/09/2016;409,6;409,6;1007850008
2017/02;25/10/2016;25/10/2016;319,68;319,68;1007850008
2017/06;25/11/2016;25/11/2016;319,68;319,68;1007850008
2017/01;25/01/2017;25/01/2017;139,8;139,8;1007860062
2016/11;25/11/2016;25/11/2016;69,9;69,9;1007860062
2016/10;26/10/2016;25/10/2016;69,9;69,9;1007860062
2017/05;25/05/2017;25/05/2017;139,8;139,8;1007860062
2016/12;25/12/2016;09/12/2016;144,9;144,9;1007860062
2017/02;06/03/2017;06/03/2017;139,8;139,8;1007860062
2016/12;25/12/2016;22/12/2016;69,9;69,9;1007860062
2017/06;25/06/2017;26/06/2017;139,8;139,8;1007860062
2017/03;02/05/2017;02/05/2017;139,8;139,8;1007860062
2017/04;02/05/2017;02/05/2017;139,8;139,8;1007860062
2017/07;15/08/2017;15/08/2017;139,8;140,76;1007860062
2017/01;25/01/2017;16/01/2017;89,9;89,9;1007880098
2016/11;19/12/2016;19/12/2016;89,9;99,61;1007880098
2017/05;25/05/2017;19/05/2017;89,9;89,9;1007880098
2016/09;17/11/2016;18/11/2016;89,9;98,92;1007880098
2017/04;25/04/2017;25/04/2017;89,9;89,9;1007880098
2017/03;25/03/2017;24/03/2017;89,9;89,9;1007880098
2016/10;17/11/2016;17/11/2016;89,9;99,58;1007880098
2016/12;25/12/2016;27/12/2016;89,9;98,9;1007880098
2017/02;25/02/2017;24/02/2017;89,9;89,9;1007880098
2017/06;25/06/2017;21/06/2017;89,9;89,9;1007880098
2017/07;25/07/2017;25/07/2017;89,9;89,9;1007880098
2017/01;25/01/2017;25/01/2017;69,9;69,9;1007900030
2016/11;25/11/2016;22/11/2016;69,9;69,9;1007900030
2017/05;25/05/2017;25/05/2017;69,9;69,9;1007900030
2017/03;25/03/2017;24/03/2017;62,91;69,9;1007900030
2017/04;25/04/2017;25/04/2017;69,9;69,9;1007900030
2016/10;25/10/2016;25/10/2016;69,9;69,9;1007900030
2016/12;25/12/2016;26/12/2016;69,9;69,9;1007900030
2017/02;25/02/2017;15/02/2017;69,9;69,9;1007900030
2017/06;25/06/2017;26/06/2017;69,9;69,9;1007900030
2017/07;25/07/2017;25/07/2017;69,9;69,9;1007900030
2017/01;27/01/2017;27/01/2017;89,9;98,94;1007910001
2016/11;25/11/2016;25/11/2016;89,9;89,9;1007910001
